number,arity,selectivity,multiplicity,conjunct,disjuncts,length,query,time
"19","3","-","0","3","1-3","3-4","MATCH (x0)<-[:pworksAt]-()-[:pknows]->()-[:pcreationDate]->(x1), (x0)<-[:pworksAt]-()<-[:pknows]-()-[:pbirthday]->(x2), (x0)<-[:pworksAt]-()<-[:phasMember]-()-[:pcreationDate]->(x3) RETURN DISTINCT x2, x0, x1 UNION ;
",-1
"20","3","-","0","3","1-3","4-4","MATCH (x0)<-[:pcreationDate]-()<-[:pknows]-()-[:pgender]->()<-[:planguage]-(x1), (x0)<-[:pbirthday]-()-[:pbrowserUsed]->()<-[:pcontent]-()-[:planguage]->(x2), (x1)<-[:pbirthday]-()-[:pbrowserUsed]->()<-[:pcontent]-()-[:planguage]->(x3) RETURN DISTINCT x1, x0, x2;
",4.64674735069275
"21","3","-","1","3","1-2","4-4","MATCH (x0)-[:pname|pname*]->(x1), (x0)-[:pname*]->(x2), (x1)-[:pname|pname*]->(x3) RETURN DISTINCT x2, x0, x1;
",5.03245520591736
"22","1","-","0.25","4","1-3","2-4","MATCH (x0)-[:pbrowserUsed]->()<-[:pname]-()-[:plikes]->(x1), (x1)-[:pcreationDate|pcreationDate*]->(x2), (x0)-[:pbrowserUsed]->()<-[:pbrowserUsed]-()-[:pname]->()<-[:pbrowserUsed]-(x3), (x2)-[:pbrowserUsed]->()<-[:pgender]-()-[:pgender]->()<-[:pbrowserUsed]-(x4) RETURN DISTINCT x0;
",4.198481798172
"23","3","-","1","4","1-3","2-4","MATCH (x0)-[:pbrowserUsed|pname|pgender*]->(x1), (x0)-[:plocationIP*]->(x2), (x0)-[:pbrowserUsed|pbrowserUsed|pgender*]->(x3), (x0)-[:pgender*]->(x4) RETURN DISTINCT x0, x2, x1;
",-1
"24","2","1","1","3","2-3","2-4","MATCH (x0)-[:pgender|pbrowserUsed|plocationIP*]->(x1), (x0)-[:pname|pspeaks*]->(x2), (x1)-[:pname|pemail*]->(x3) RETURN DISTINCT x0, x1;
",5.05678343772888
"25","0","-","1","3","1-3","2-4","MATCH (x0)-[:plength*]->(x1), (x0)-[:pcreationDate|pcreationDate|pcreationDate*]->(x2), (x1)-[:plength|pcreationDate*]->(x3) RETURN \"true\" LIMIT 1;
",2.90128397941589
"26","2","2","0","4","2-3","2-4","MATCH (x0)-[:phasTag]->()-[:pname]->()<-[:pname]-(x1), (x1)-[:pisLocatedIn]->()<-[:pisLocatedIn]-()-[:pbirthday]->(x2), (x0)-[:pcreationDate]->()<-[:pbirthday]-()-[:plocationIP]->()<-[:plocationIP]-(x3), (x2)-[:pbrowserUsed]->()<-[:pname]-()-[:pname]->()<-[:plocationIP]-(x4) RETURN DISTINCT x0, x2;
",5.0246741771698
"27","3","-","0","3","1-3","2-4","MATCH (x0)-[:planguage]->()<-[:pname]-()-[:pname]->()<-[:pname]-(x1), (x0)-[:pimageFile]->()<-[:pbrowserUsed]-()-[:pbrowserUsed]->()<-[:pcontent]-(x2), (x1)-[:planguage]->()<-[:pname]-()-[:plocationIP]->()<-[:planguage]-(x3) RETURN DISTINCT x0, x1, x2;
",4.46300005912781
"28","4","-","1","3","1-3","2-4","MATCH (x0)-[:pcreationDate|pcreationDate|pbirthday*]->(x1), (x0)-[:pcreationDate*]->(x2), (x0)-[:pbirthday|pcreationDate*]->(x3) RETURN DISTINCT x2, x1, x3, x0;
",5.40674424171448
"29","0","-","0.25","4","1-3","3-4","MATCH (x0)-[:pcontent]->()<-[:pname]-()-[:phasType]->()-[:pisSubclassOf]->(x1), (x1)-[:pname*]->(x2), (x0)-[:pisSubclassOf]->()-[:pbrowserUsed]->()<-[:pname]-(x3), (x3)-[:pname]->()<-[:pimageFile]-()<-[:pcontainerOf]-(x2) RETURN \"true\" LIMIT 1;
",4.6710033416748
"30","2","2","1","3","1-1","2-4","MATCH (x0)-[:pname*]->(x1), (x0)-[:pname*]->(x2), (x0)-[:pname*]->(x3) RETURN DISTINCT x0, x1 UNION ;
",-1
"31","2","2","0.666667","3","3-3","3-4","MATCH (x0)-[:pname|pname|pname*]->(x1), (x1)-[:pname]->()<-[:pname]-()<-[:pisPartOf]-(x2), (x2)-[:pname|pname|pname*]->(x3) RETURN DISTINCT x0, x3;
",8.25423860549927
"32","4","-","0.25","4","1-3","2-4","MATCH (x0)-[:pname|pname|pname*]->(x1), (x1)<-[:phasType]-()<-[:phasInterest]-()-[:pstudyAt]->(x2), (x0)<-[:phasType]-()<-[:phasInterest]-()-[:pcreationDate]->(x3), (x3)<-[:pcreationDate]-()-[:pcontainerOf]->()-[:planguage]->()<-[:pcontent]-(x2) RETURN DISTINCT x1, x0, x2, x3;
",4.37167882919312
"33","1","-","0","3","2-3","2-4","MATCH (x0)-[:pspeaks]->()<-[:pname]-()-[:pisPartOf]->(x1), (x1)-[:pname]->()<-[:pname]-()<-[:pisPartOf]-()<-[:pisLocatedIn]-(x2), (x2)<-[:pstudyAt]-()-[:pworksAt]->(x3) RETURN DISTINCT x0;
",-1
"34","1","-","1","3","1-3","2-4","MATCH (x0)-[:pcontent|pimageFile|planguage*]->(x1), (x0)-[:pimageFile*]->(x2), (x0)-[:planguage|pcontent*]->(x3) RETURN DISTINCT x0;
",-1
"35","4","-","0","3","1-2","3-3","MATCH (x0)<-[:phasType]-()<-[:phasInterest]-()-[:pstudyAt]->(x1), (x0)<-[:phasType]-()<-[:phasInterest]-()-[:pstudyAt]->(x2), (x0)<-[:phasType]-()<-[:phasInterest]-()-[:pstudyAt]->(x3) RETURN DISTINCT x3, x2, x0, x1;
",-1
"36","1","-","0","3","1-3","2-4","MATCH (x0)<-[:pbirthday]-()-[:pworksAt]->()-[:pisLocatedIn]->(x1), (x0)<-[:pcreationDate]-()-[:pisLocatedIn]->(x2), (x0)<-[:pcreationDate]-()-[:pcreationDate]->()<-[:pcreationDate]-()-[:pisLocatedIn]->(x3) RETURN DISTINCT x0;
",3.39652013778687
"37","1","-","1","4","1-3","2-4","MATCH (x0)-[:pname|pname*]->(x1), (x0)-[:pname*]->(x2), (x0)-[:pname|pname|pname*]->(x3), (x0)-[:pname*]->(x4) RETURN DISTINCT x0;
",7.95791959762573
"38","0","-","1","3","1-3","2-4","MATCH (x0)-[:pcreationDate*]->(x1), (x0)-[:pcreationDate|pbirthday|pcreationDate*]->(x2), (x1)-[:pcreationDate*]->(x3) RETURN \"true\" LIMIT 1;
",2.99825859069824
"39","3","-","0.25","4","1-2","3-4","MATCH (x0)<-[:pname]-()-[:pemail]->()<-[:pbrowserUsed]-(x1), (x1)-[:pcreationDate*]->(x2), (x0)<-[:pcontent]-()-[:planguage]->()<-[:plocationIP]-(x3), (x3)-[:pbrowserUsed]->()<-[:pname]-()-[:pemail]->()<-[:pname]-(x2) RETURN DISTINCT x0, x1, x2 UNION  UNION  UNION  UNION ;
",-1
"40","3","-","0","3","2-3","2-4","MATCH (x0)-[:pgender]->()<-[:pbrowserUsed]-()-[:pname]->()<-[:pname]-(x1), (x0)-[:pbrowserUsed]->()<-[:pname]-(x2), (x0)-[:pbrowserUsed]->()<-[:pgender]-()-[:pgender]->()<-[:pname]-(x3) RETURN DISTINCT x0, x2, x1 UNION  UNION ;
",-1
"41","2","2","0","3","1-3","2-3","MATCH (x0)<-[:planguage]-()-[:pisSubclassOf]->()<-[:preplyOf]-(x1), (x0)<-[:pemail]-()<-[:phasMember]-(x2), (x1)<-[:plocationIP]-()-[:phasCreator]->()<-[:phasModerator]-(x3) RETURN DISTINCT x0, x1 UNION  UNION ;
",-1
"42","0","-","0.333333","3","1-2","3-4","MATCH (x0)<-[:pemail]-()-[:pbrowserUsed]->()<-[:pcontent]-(x1), (x1)-[:pcontent]->()<-[:pgender]-()-[:pbrowserUsed]->()<-[:pname]-(x2), (x2)-[:pname|pname*]->(x3) RETURN \"true\" LIMIT 1;
",3.21029090881348
"43","1","-","0","3","1-3","4-4","MATCH (x0)<-[:planguage]-()-[:pcontent]->()<-[:pname]-()<-[:pisLocatedIn]-(x1), (x0)<-[:planguage]-()-[:pcontent]->()<-[:pname]-()<-[:pisLocatedIn]-(x2), (x0)<-[:planguage]-()-[:pcontent]->()<-[:pname]-()<-[:pisLocatedIn]-(x3) RETURN DISTINCT x0 UNION ;
",-1
"44","1","-","0.75","4","1-3","2-4","MATCH (x0)-[:pimageFile|pcontent|planguage*]->(x1), (x1)-[:pcontent|pimageFile|pcontent*]->(x2), (x2)-[:planguage*]->(x3), (x3)-[:pcontent]->()<-[:pbrowserUsed]-()<-[:pisSubclassOf]-(x4) RETURN DISTINCT x0;
",3.42110538482666
"45","0","-","0","3","1-3","2-4","MATCH (x0)-[:preplyOf]->()<-[:plikes]-()-[:pstudyAt]->(x1), (x0)-[:planguage]->()<-[:planguage]-(x2), (x1)-[:planguage]->()<-[:planguage]-(x3) RETURN \"true\" LIMIT 1;
",2.5735867023468
"46","4","-","0","4","1-3","3-4","MATCH (x0)<-[:pstudyAt]-()-[:phasInterest]->()<-[:phasTag]-()-[:phasTag]->(x1), (x1)<-[:phasInterest]-()<-[:pknows]-()-[:pgender]->()<-[:pname]-(x2), (x0)-[:pisLocatedIn]->()-[:pname]->()<-[:pbrowserUsed]-()-[:plikes]->(x3), (x2)-[:pisLocatedIn]->()<-[:pisLocatedIn]-()-[:plikes]->(x4) RETURN DISTINCT x1, x3, x0, x2 UNION  UNION ;
",-1
"47","3","-","1","3","2-3","2-4","MATCH (x0)-[:pname|pname|pname*]->(x1), (x0)-[:pstudyAt|pstudyAt*]->(x2), (x1)-[:pstudyAt|pstudyAt*]->(x3) RETURN DISTINCT x2, x1, x0;
",2.53810286521912
"48","2","2","1","3","1-2","2-4","MATCH (x0)-[:pname|pname*]->(x1), (x0)-[:pname*]->(x2), (x0)-[:pname|pname*]->(x3) RETURN DISTINCT x0, x1;
",7.0458550453186
"49","4","-","0","3","1-3","3-4","MATCH (x0)-[:pname]->()<-[:plength]-()-[:phasModerator]->()-[:pworksAt]->(x1), (x0)-[:pname]->()<-[:pname]-()-[:plocationIP]->()<-[:pname]-(x2), (x1)-[:pname]->()<-[:plocationIP]-()-[:pname]->()<-[:pname]-(x3) RETURN DISTINCT x0, x1, x3, x2 UNION ;
",-1
